Y	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
1	0.375870231692519	0.375870231692519	0.375870231692519	0.375870231780872	0.375870231833559	0.375870231722998	0.296846190550845	-0.170034872625275	0.410959680856865	0.260913841874939
0.375870231692519	1	1	1	1	1	1	0.954147764065589	0.21542767281904	0.0368457201758728	0.198373384825875
0.375870231692519	1	1	1	1	1	1	0.954147764065589	0.21542767281904	0.0368457201758728	0.198373384825875
0.375870231692519	1	1	1	1	1	1	0.954147764065589	0.21542767281904	0.0368457201758728	0.198373384825875
0.375870231780872	1	1	1	1	1	1	0.954147764059137	0.215427672817847	0.0368457201315046	0.198373384901789
0.375870231833559	1	1	1	1	1	1	0.954147764067756	0.215427672749806	0.0368457202939949	0.198373384848202
0.375870231722998	1	1	1	1	1	1	0.954147764106593	0.215427672702536	0.0368457201120553	0.198373384934365
0.296846190550845	0.954147764065589	0.954147764065589	0.954147764065589	0.954147764059137	0.954147764067756	0.954147764106593	1	0.113899305671824	-0.00452825584579636	0.229162987907877
-0.170034872625275	0.21542767281904	0.21542767281904	0.21542767281904	0.215427672817847	0.215427672749806	0.215427672702536	0.113899305671824	1	0.0900984166996051	-0.133548652095386
0.410959680856865	0.0368457201758728	0.0368457201758728	0.0368457201758728	0.0368457201315046	0.0368457202939949	0.0368457201120553	-0.00452825584579636	0.0900984166996051	1	0.113787959892939
0.260913841874939	0.198373384825875	0.198373384825875	0.198373384825875	0.198373384901789	0.198373384848202	0.198373384934365	0.229162987907877	-0.133548652095386	0.113787959892939	1
