Y,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,0.28276390200197,0.28276390200197,0.28276390200197,0.28276390210886,0.282763902155648,0.282763902073866,0.213901285906191,-0.21039082520152,0.419526016028233
0.28276390200197,1,1,1,1,1,1,0.958404968111651,0.272524618101961,0.00549157019419846
0.28276390200197,1,1,1,1,1,1,0.958404968111651,0.272524618101961,0.00549157019419846
0.28276390200197,1,1,1,1,1,1,0.958404968111651,0.272524618101961,0.00549157019419846
0.28276390210886,1,1,1,1,1,1,0.958404968105945,0.272524618088554,0.00549157016018178
0.282763902155648,1,1,1,1,1,1,0.95840496811373,0.272524618026823,0.00549157031300621
0.282763902073866,1,1,1,1,1,1,0.958404968148969,0.272524617972945,0.00549157014773631
0.213901285906191,0.958404968111651,0.958404968111651,0.958404968111651,0.958404968105945,0.95840496811373,0.958404968148969,1,0.175960854874117,-0.0322480736696942
-0.21039082520152,0.272524618101961,0.272524618101961,0.272524618101961,0.272524618088554,0.272524618026823,0.272524617972945,0.175960854874117,1,0.0655996454092091
0.419526016028233,0.00549157019419846,0.00549157019419846,0.00549157019419846,0.00549157016018178,0.00549157031300621,0.00549157014773631,-0.0322480736696942,0.0655996454092091,1
